Pacman position: (12, 10), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [11, 9, 5, 3]
Pacman position: (12, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [12, 8, 6, 2]
Pacman position: (12, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [13, 7, 7, 1]
Pacman position: (13, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [14, 8, 6, None]
Pacman position: (13, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [13, 9, 5, None]
Pacman position: (13, 10), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [12, 10, 4, None]
Pacman position: (13, 9), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [11, 11, 3, None]
Pacman position: (13, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [10, 12, 2, None]
Pacman position: (13, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [9, 13, 1, None]
Pacman position: (13, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [8, 14, None, None]
Pacman position: (12, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [7, 13, None, None]
Pacman position: (11, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [6, 12, None, None]
Pacman position: (10, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [5, 11, None, None]
Pacman position: (9, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [4, 10, None, None]
Pacman position: (8, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [3, 9, None, None]
Pacman position: (7, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [2, 8, None, None]
Pacman position: (6, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [1, 7, None, None]
Pacman position: (5, 6), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 6, None, None]
Pacman position: (5, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 5, None, None]
Pacman position: (5, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 4, None, None]
Pacman position: (5, 9), Legal pacman actions['West', 'Stop', 'East', 'South'], Ghosts distances: [None, 3, None, None]
Pacman position: (6, 9), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 4, None, None]
Pacman position: (6, 10), Legal pacman actions['Stop', 'East', 'North', 'South'], Ghosts distances: [None, 3, None, None]
Pacman position: (6, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 2, None, None]
Pacman position: (6, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 1, None, None]
Pacman position: (12, 10), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [11, 9, 5, 3]
Pacman position: (12, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [12, 8, 6, 3]
Pacman position: (12, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [12, 6, 6, 3]
Pacman position: (13, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [14, 8, 6, 1]
Pacman position: (13, 13), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [14, 8, 8, 1]
Pacman position: (13, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [14, 10, 6, None]
Pacman position: (13, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [13, 12, 4, None]
Pacman position: (13, 10), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [13, 13, 4, None]
Pacman position: (13, 9), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [11, 14, 4, None]
Pacman position: (13, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [11, 14, 2, None]
Pacman position: (12, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [9, 12, 1, None]
Pacman position: (11, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [8, 10, None, None]
Pacman position: (11, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [6, 10, None, None]
Pacman position: (10, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [4, 8, None, None]
Pacman position: (9, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [4, 8, None, None]
Pacman position: (8, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [2, 6, None, None]
Pacman position: (7, 7), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 6, None, None]
Pacman position: (7, 8), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 6, None, None]
Pacman position: (7, 9), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 5, None, None]
Pacman position: (7, 10), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 4, None, None]
Pacman position: (7, 11), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 2, None, None]
Pacman position: (7, 12), Legal pacman actions['West', 'Stop', 'East', 'North', 'South'], Ghosts distances: [None, 1, None, None]
