@relation InstanceResultListener

@attribute Key_Dataset {pacman,'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,16-17',pacman-weka.filters.unsupervised.attribute.Remove-R3-15}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 120\nSize of the tree: 239\n','Number of leaves: 112\nSize of the tree: 223\n','Number of leaves: 113\nSize of the tree: 225\n','Number of leaves: 119\nSize of the tree: 237\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 115\nSize of the tree: 229\n','Number of leaves: 123\nSize of the tree: 245\n','Number of leaves: 116\nSize of the tree: 231\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 121\nSize of the tree: 241\n','Number of leaves: 125\nSize of the tree: 249\n','Number of leaves: 117\nSize of the tree: 233\n','Number of leaves: 127\nSize of the tree: 253\n','Number of leaves: 128\nSize of the tree: 255\n','Number of leaves: 122\nSize of the tree: 243\n','Number of leaves: 118\nSize of the tree: 235\n','Number of leaves: 126\nSize of the tree: 251\n','Number of leaves: 130\nSize of the tree: 259\n','Number of leaves: 129\nSize of the tree: 257\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 66\nSize of the tree: 131\n','Number of rules: 68\n','Number of rules: 73\n','Number of rules: 78\n','Number of rules: 77\n','Number of rules: 80\n','Number of rules: 81\n','Number of rules: 76\n','Number of rules: 89\n','Number of rules: 72\n','Number of rules: 82\n','Number of rules: 74\n','Number of rules: 83\n','Number of rules: 75\n','Number of rules: 79\n','Number of rules: 69\n','Number of rules: 70\n','Number of rules: 71\n','Number of rules: 84\n','Number of rules: 88\n','Number of rules: 98\n','Number of rules: 95\n','Number of rules: 90\n','Number of rules: 94\n','Number of rules: 106\n','Number of rules: 96\n','Number of rules: 101\n','Number of rules: 99\n','Number of rules: 93\n','Number of rules: 92\n','Number of rules: 100\n','Number of rules: 102\n','Number of rules: 104\n','Number of rules: 103\n','Number of rules: 97\n','Number of rules: 105\n','Number of rules: 86\n','Number of rules: 91\n','Number of rules: 87\n','Number of rules: 48\n','Number of rules: 49\n','Number of rules: 46\n','Number of rules: 44\n','Number of rules: 50\n','Number of rules: 52\n','Number of rules: 45\n','Number of rules: 47\n','Number of rules: 56\n','Number of rules: 59\n','Number of rules: 51\n','Number of rules: 53\n','Number of rules: 40\n','Number of rules: 54\n','Number of rules: 41\n','Number of rules: 57\n','Number of rules: 42\n','Number of rules: 43\n','Number of rules: 55\n','Number of rules: 39\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,48,26,0,64.864865,35.135135,0,0.539051,0.143247,0.336259,47.242132,86.422822,158.811023,16139.068806,-15980.257783,2.146095,218.095524,-215.949429,94.155122,1.272367,4357.991925,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.648649,0.10344,0.89656,0.351351,0.659956,0.648649,0.651925,0.546615,0.828306,0.632741,0.681195,0.648649,0.414,0.008,0.4,0.01,400,10,46876,117280,14864,79.72973,29.459459,'Number of leaves: 90\nSize of the tree: 179\n',179,90,90
pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,56,18,0,75.675676,24.324324,0,0.675597,0.10151,0.272127,33.477648,69.9402,158.811023,5411.34291,-5252.531886,2.146095,73.126256,-70.980161,111.963718,1.513023,5182.266954,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.756757,0.077569,0.922431,0.243243,0.744491,0.756757,0.745045,0.677815,0.920347,0.788178,0.748333,0.756757,0.119,0.003,0.12,0,120,0,50264,117280,14864,89.189189,30.540541,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97
pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.663395,0.113957,0.294065,37.683626,75.807843,157.749881,10768.472933,-10610.723052,2.131755,145.519904,-143.388149,108.61245,1.467736,5023.465317,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.743243,0.074082,0.925918,0.256757,0.762573,0.743243,0.747704,0.670151,0.884373,0.738032,0.769678,0.743243,0.079,0.004,0.08,0,80,0,52684,117280,14864,86.486486,30.27027,'Number of leaves: 102\nSize of the tree: 203\n',203,102,102
pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.658986,0.117704,0.310185,38.922727,79.963573,157.749881,16124.224295,-15966.474414,2.131755,217.894923,-215.763168,105.416712,1.42455,4875.65833,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.743243,0.081225,0.918775,0.256757,0.749779,0.743243,0.743553,0.663968,0.842724,0.641407,0.760313,0.743243,0.052,0.003,0.05,0,50,0,53652,117280,14864,79.72973,27.027027,'Number of leaves: 104\nSize of the tree: 207\n',207,104,104
pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,51,23,0,68.918919,31.081081,0,0.589583,0.127372,0.320466,41.945319,82.228676,160.103071,8649.009393,-8488.906322,2.163555,116.878505,-114.71495,100.532507,1.358547,4657.340628,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.689189,0.092205,0.907795,0.310811,0.675629,0.689189,0.680515,0.591379,0.871062,0.699321,0.676188,0.689189,0.112,0.003,0.06,0.01,60,10,55588,117280,14864,83.783784,28.648649,'Number of leaves: 108\nSize of the tree: 215\n',215,108,108
pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,54,20,0,72.972973,27.027027,0,0.645764,0.118854,0.308113,39.140353,79.058922,160.103071,10776.382438,-10616.279367,2.163555,145.62679,-143.463235,106.766333,1.442788,4946.133273,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.72973,0.08137,0.91863,0.27027,0.742932,0.72973,0.729158,0.651034,0.871528,0.694864,0.74553,0.72973,0.06,0.002,0.06,0,60,0,50748,117280,14864,85.135135,30,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,58,16,0,78.378378,21.621622,0,0.714148,0.094354,0.276099,31.072232,70.84447,160.103071,9687.844245,-9527.741173,2.163555,130.916814,-128.753259,116.928093,1.580109,5416.894242,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.783784,0.063202,0.936798,0.216216,0.777357,0.783784,0.779538,0.719591,0.902284,0.755418,0.775686,0.783784,0.061,0.002,0.06,0,60,0,55104,117280,14864,87.837838,26.756757,'Number of leaves: 107\nSize of the tree: 213\n',213,107,107
pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,51,23,0,68.918919,31.081081,0,0.59057,0.128546,0.326403,42.258128,83.587919,160.876664,12921.632063,-12760.755399,2.174009,174.616649,-172.442641,103.33975,1.396483,4789.945389,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.689189,0.107948,0.892052,0.310811,0.689624,0.689189,0.687075,0.583777,0.853876,0.665219,0.726561,0.689189,0.055,0.001,0.05,0,50,0,52684,117280,14864,83.783784,28.108108,'Number of leaves: 102\nSize of the tree: 203\n',203,102,102
pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.662344,0.115654,0.288804,38.019971,73.959238,160.876664,7558.041905,-7397.165241,2.174009,102.135701,-99.961692,109.859346,1.484586,5092.138034,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.743243,0.080887,0.919113,0.256757,0.785953,0.743243,0.745004,0.681405,0.895999,0.749034,0.763996,0.743243,0.063,0.001,0.06,0.01,60,10,52684,117280,14864,89.189189,32.702703,'Number of leaves: 102\nSize of the tree: 203\n',203,102,102
pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,57,17,0,77.027027,22.972973,0,0.695326,0.093479,0.282065,30.730223,72.233351,160.876664,10760.734826,-10599.858162,2.174009,145.415335,-143.241327,117.042904,1.581661,5425.106216,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.77027,0.082968,0.917032,0.22973,0.774273,0.77027,0.766748,0.695092,0.89222,0.768028,0.784727,0.77027,0.063,0.001,0.06,0.01,60,10,52684,117280,14864,86.486486,25.675676,'Number of leaves: 102\nSize of the tree: 203\n',203,102,102
pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,49,25,0,66.216216,33.783784,0,0.550971,0.133093,0.324049,43.893419,83.284747,158.811023,11850.814063,-11692.003039,2.146095,160.146136,-158.000041,96.95814,1.310245,4487.730268,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.662162,0.112437,0.887563,0.337838,0.649775,0.662162,0.652801,0.547101,0.854488,0.653095,0.682176,0.662162,0.039,0.001,0.04,0,40,0,52200,117280,14864,85.135135,30.27027,'Number of leaves: 101\nSize of the tree: 201\n',201,101,101
pacman,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.2036,666,74,54,20,0,72.972973,27.027027,0,0.644573,0.116102,0.295798,38.289985,76.023863,158.811023,9702.359969,-9543.548946,2.146095,131.112973,-128.966878,105.244649,1.422225,4871.273256,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.72973,0.074114,0.925886,0.27027,0.75,0.72973,0.734644,0.661634,0.879509,0.746592,0.742657,0.72973,0.057,0.001,0.04,0,40,0,52200,117280,14864,87.837838,31.621622,'Number of leaves: 101\nSize of the tree: 201\n',201,101,101
