@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,16-17'

@attribute num_fantasmas numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
4,6,5,6,9,8,11,14,6,11,7,7,18,Stop
4,6,4,6,9,8,11,14,6,12,7,7,17,Stop
4,6,3,6,9,8,11,14,7,13,7,7,16,Stop
4,6,3,5,9,8,11,13,7,13,6,7,17,Stop
4,7,3,5,9,8,11,14,7,14,6,7,17,Stop
4,7,4,4,9,7,11,14,7,13,5,6,17,Stop
4,8,4,3,9,8,11,14,7,13,3,6,17,East
4,7,4,2,9,8,11,14,6,11,3,5,16,East
4,7,5,1,9,8,11,14,6,9,5,4,16,East
4,6,5,1,8,7,11,14,5,7,7,2,16,East
4,7,5,1,9,5,1,15,5,7,7,0,16,East
4,6,5,2,9,5,1,16,5,7,7,0,16,East
4,5,5,2,9,5,1,16,4,9,8,0,14,East
4,5,5,2,8,5,1,16,5,10,10,0,12,East
4,5,5,3,8,5,1,15,5,11,10,0,10,East
4,5,4,3,8,5,1,14,5,13,11,0,10,East
4,5,4,2,8,5,1,14,4,14,13,0,10,East
4,5,4,1,8,5,1,15,4,15,15,0,9,East
4,5,3,1,7,5,1,15,4,17,17,0,9,East
4,6,3,1,6,5,1,15,3,15,17,0,9,South
4,5,3,1,7,5,1,16,3,15,15,0,8,South
4,5,3,1,8,5,1,16,3,14,13,0,6,South
4,4,3,1,9,5,1,16,4,14,15,0,4,South
4,3,3,2,9,5,1,15,4,14,15,0,4,South
4,3,3,3,9,5,1,16,4,13,15,0,3,South
4,3,3,3,9,5,1,16,4,12,16,0,1,South
4,3,3,4,9,5,1,7,1,13,16,0,0,East
4,2,3,4,8,5,1,7,1,15,16,0,0,East
4,2,4,4,7,5,1,7,1,15,16,0,0,East
4,3,4,4,7,5,1,7,1,15,17,0,0,East
4,3,5,5,7,5,1,7,1,15,15,0,0,West
4,3,5,4,7,5,1,7,1,14,15,0,0,West
4,3,5,5,7,5,1,7,1,13,13,0,0,West
4,2,5,4,7,5,1,7,1,13,13,0,0,North
4,1,5,4,8,5,1,7,1,14,14,0,0,North
4,1,5,3,8,5,1,7,1,14,15,0,0,North
4,1,5,4,8,5,1,7,1,13,13,0,0,West
4,1,6,5,8,5,1,7,1,13,11,0,0,West
4,1,5,6,8,5,1,7,1,11,9,0,0,West
