@relation pacman-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
11,11,2,4,East
12,11,2,3,East
13,11,2,2,East
14,11,2,1,East
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
14,7,1,5,South
14,6,1,4,South
14,5,1,5,South
14,4,1,6,South
15,4,1,7,East
16,4,1,8,East
17,4,1,9,East
18,4,1,10,East
17,4,1,9,West
16,4,1,8,West
15,4,1,7,West
15,5,1,6,North
15,5,1,6,North
15,5,1,6,North
14,5,1,5,West
13,5,1,4,West
12,5,1,3,West
11,5,1,2,West
10,5,1,1,West
10,6,0,0,North
10,7,0,0,North
10,8,0,0,North
10,9,0,0,North
10,10,0,0,North
10,11,0,0,North
9,11,0,0,West
8,11,0,0,West
7,11,0,0,West
6,11,0,0,West
6,10,0,0,South
6,9,0,0,South
6,8,0,0,South
6,7,0,0,South
7,7,0,0,East
8,7,0,0,East
9,7,0,0,East
10,7,0,0,East
10,6,0,0,South
10,5,0,0,South
9,5,0,0,West
8,5,0,0,West
7,5,0,0,West
6,5,0,0,West
5,5,0,0,West
4,5,0,0,West
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
10,10,2,4,South
10,9,2,3,South
10,8,2,2,South
10,7,2,1,South
9,7,2,2,West
8,7,2,3,West
7,7,2,4,West
6,7,2,5,West
5,7,2,6,West
5,8,2,7,North
5,9,2,8,North
6,9,2,7,East
7,9,2,6,East
8,9,2,5,East
9,9,2,4,East
10,9,2,3,East
11,9,2,4,East
12,9,2,3,East
13,9,2,2,East
14,9,2,1,East
14,10,1,8,North
14,11,1,9,North
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
14,7,1,5,South
15,7,1,6,East
16,7,1,7,East
17,7,1,8,East
18,7,1,9,East
18,7,1,9,East
18,7,1,9,East
18,8,1,10,North
18,9,1,11,North
17,9,1,10,West
16,9,1,9,West
15,9,1,8,West
14,9,1,7,West
13,9,1,6,West
12,9,1,5,West
11,9,1,4,West
10,9,1,3,West
10,8,1,2,South
10,7,1,1,South
10,6,0,0,South
10,5,0,0,South
9,5,0,0,West
8,5,0,0,West
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
11,11,2,4,East
12,11,2,3,East
13,11,2,2,East
14,11,2,1,East
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
14,7,1,5,South
14,6,1,4,South
14,5,1,5,South
14,4,1,6,South
14,3,1,7,South
15,3,1,8,East
16,3,1,9,East
17,3,1,10,East
17,4,1,9,North
17,5,1,8,North
17,5,1,8,North
16,5,1,7,West
15,5,1,6,West
14,5,1,5,West
13,5,1,4,West
12,5,1,3,West
11,5,1,2,West
10,5,1,1,West
10,6,0,0,North
10,7,0,0,North
10,8,0,0,North
10,9,0,0,North
11,9,0,0,East
12,9,0,0,East
13,9,0,0,East
14,9,0,0,East
14,8,0,0,South
14,7,0,0,South
14,6,0,0,South
14,5,0,0,South
14,6,0,0,North
14,7,0,0,North
14,8,0,0,North
14,9,0,0,North
13,9,0,0,West
12,9,0,0,West
11,9,0,0,West
10,9,0,0,West
9,9,0,0,West
9,8,0,0,South
9,7,0,0,South
9,6,0,0,South
9,5,0,0,South
8,5,0,0,West
7,5,0,0,West
6,5,0,0,West
5,5,0,0,West
5,4,0,0,South
5,3,0,0,South
6,3,0,0,East
7,3,0,0,East
8,3,0,0,East
8,4,0,0,North
8,5,0,0,North
8,6,0,0,North
8,7,0,0,North
8,8,0,0,North
8,9,0,0,North
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
